id,publicar,nome,sigla,tipo_unidade,instituicao,sigla_instituicao,natureza_instituicao,unidade_vinculacao,area_principal,areas_secundarias,responsavel_nome,responsavel_cargo,email_contato,telefone_contato,url,endereco,cidade,uf,latitude,longitude,precisao_geo,relevancia,grau_verificacao,data_verificacao
enap-cgdados,sim,Coordenação-Geral de Ciência de Dados,CGDados,diretoria,Escola Nacional de Administração Pública,Enap,instituição pública de pesquisa não universitária,,ciencia_de_dados,politicas_publicas,Tamille Sales Dias,Coordenadora-Geral de Ciência de Dados,,(61) 2020-3000,https://www.enap.gov.br/pt/a-escola/quem-somos/quem-e-quem,"SPO Área Especial 2-A, Asa Sul, CEP 70610-900",Brasília,DF,-15.8339,-47.9256,campus,"A CGDados estrutura, programa e dissemina dados e evidências científicas de interesse da administração pública federal.",parcial,2026-09-17
inep-deed,sim,Diretoria de Estatísticas Educacionais,Deed,diretoria,Instituto Nacional de Estudos e Pesquisas Educacionais Anísio Teixeira,Inep,instituição pública de pesquisa não universitária,,ciencia_de_dados,politicas_publicas,Fábio Pereira Bravin,Diretor de Estatísticas Educacionais,gabinete.deed@inep.gov.br,(61) 2022-3105,https://www.gov.br/inep/pt-br/composicao/diretoria-de-estatisticas-educacionais,"Setor de Indústrias Gráficas, Quadra 4, Lote 327, Edifício Villa Lobos, CEP 70610-908",Brasília,DF,-15.7995,-47.906,endereco,"A Deed executa o Censo da Educação Superior, fonte primária de dados sobre instituições, cursos e docentes, e mantém rotinas de controle de qualidade e tratamento da informação.",verificado,2026-09-17
mcti-ibict,sim,Instituto Brasileiro de Informação em Ciência e Tecnologia,Ibict,instituto,"Ministério da Ciência, Tecnologia e Inovação",MCTI,instituição pública de pesquisa não universitária,,ciencia_de_dados,divulgacao_cientifica; politicas_publicas,Tiago Emmanuel Braga,Diretor,tiagobraga@ibict.br,(61) 3217-6308,https://www.gov.br/ibict/pt-br,"SAUS Quadra 5, Lote 6, Bloco H, CEP 70070-912",Brasília,DF,-15.8003,-47.8842,endereco,"O Ibict organiza, preserva e dissemina informação científica e tecnológica brasileira, e opera padrões de catalogação, repositórios e ciência aberta.",verificado,2026-09-17
unb-lamfo,sim,Laboratório de Aprendizado de Máquina em Finanças e Organizações,LAMFO,laboratório,Universidade de Brasília,UnB,universidade federal,"Faculdade de Economia, Administração, Contabilidade e Gestão de Políticas Públicas (FACE)",ciencia_de_dados,politicas_publicas; divulgacao_cientifica,Pedro Henrique Melo Albuquerque,Coordenador,,+55 61 3107-0837,https://lamfo.unb.br/,"Campus Universitário Darcy Ribeiro, Brasília - DF, CEP 70910-900",Brasília,DF,-15.7631,-47.8694,campus,"Laboratório que desenvolve, aplica e estuda fenômenos organizacionais com algoritmos de aprendizado de máquina, em áreas como marketing, logística, administração pública, gestão de pessoas e finanças.",parcial,2026-09-17
ufg-ceia,sim,Centro de Excelência em Inteligência Artificial,CEIA,centro,Universidade Federal de Goiás,UFG,universidade federal,Instituto de Informática (INF),ciencia_de_dados,politicas_publicas,Anderson da Silva Soares,Coordenador,ceia@ceia.ufg.br,+55 62 3521-1724,https://ceia.ufg.br/,"Alameda Palmeiras, Quadra D, Campus Samambaia, Instituto de Informática, Sala 244, Goiânia - GO, CEP 74690-900",Goiânia,GO,-16.6034,-49.2643,campus,"O centro resulta de política pública estadual de ciência e tecnologia e opera em modelo de articulação entre academia, governo e empresas, caso de referência para estudos sobre instrumentos de fomento e avaliação de políticas de ciência.",verificado,2026-09-17
ufms-lia,sim,Laboratório de Inteligência Artificial,LIA,laboratório,Universidade Federal de Mato Grosso do Sul,UFMS,universidade federal,Faculdade de Computação (FACOM),ciencia_de_dados,,,,,+55 67 3345-7910,https://www.facom.ufms.br/laboratorios/,"Faculdade de Computação, Cidade Universitária, Campo Grande - MS, CEP 79070-900",Campo Grande,MS,-20.5028,-54.6144,campus,"O laboratório sustenta o bacharelado em Inteligência Artificial e o curso de Ciência dos Dados da UFMS, sendo referência de formação na área no Centro-Oeste.",parcial,2026-09-17
ufal-led,sim,Laboratório de Estatística e Ciências de Dados,LED,laboratório,Universidade Federal de Alagoas,UFAL,universidade federal,Instituto de Matemática (IM),ciencia_de_dados,politicas_publicas,Krerley Oliveira,Coordenador,,,https://im.ufal.br/,"Campus A. C. Simões, Avenida Lourival Melo Mota, s/n, Tabuleiro do Martins, Maceió - AL, CEP 57072-900",Maceió,AL,-9.5551,-35.7726,campus,"O laboratório desenvolve sistemas de classificação automática de processos e documentos para tribunais e secretarias estaduais, competência transferível à catalogação de acervos e à triagem de dados institucionais.",parcial,2026-09-17
fiocruz-cidacs,sim,Centro de Integração de Dados e Conhecimentos para Saúde,Cidacs,centro,Fundação Oswaldo Cruz,Fiocruz,instituição pública de pesquisa não universitária,Instituto Gonçalo Moniz (Fiocruz Bahia),ciencia_de_dados,politicas_publicas,Pablo Ivan Ramos,Coordenador-geral,cidacs.comunicacao@fiocruz.br,,https://cidacs.bahia.fiocruz.br/,"Parque Tecnológico da Bahia, Edifício Tecnocentro, Rua Mundo, 121, Trobogy",Salvador,BA,-12.9394,-38.4053,endereco,O Cidacs opera integração e catalogação de grandes bases de dados administrativos com procedimentos de anonimização e governança.,verificado,2026-09-17
ufc-insight-lab,sim,Insight Data Science Lab,Insight Lab,laboratório,Universidade Federal do Ceará,UFC,universidade federal,"Departamento de Computação, Centro de Ciências",ciencia_de_dados,politicas_publicas,José Antônio Fernandes de Macêdo,Coordenador,contact@insightlab.ufc.br,,https://www.insightlab.ufc.br/,"Campus do Pici, Bloco 918, CIPEMAC, segundo andar, Centro de Ciências, Departamento de Computação, Fortaleza - CE, CEP 60440-900",Fortaleza,CE,-3.7458,-38.5744,campus,"O laboratório desenvolve plataformas de dados e painéis para órgãos públicos, com experiência em integração de bases governamentais que interessa à catalogação de dados institucionais e à construção de painéis gerenciais.",verificado,2026-09-17
ufma-nca,sim,Núcleo de Computação Aplicada,NCA,núcleo,Universidade Federal do Maranhão,UFMA,universidade federal,Centro de Ciências Exatas e Tecnologia (CCET),ciencia_de_dados,politicas_publicas,Anselmo Cardoso de Paiva,Coordenador,,,https://nca.ufma.br/,"Avenida dos Portugueses, 1966, Prédio do CCET, Vila Bacanga, São Luís - MA, CEP 65080-805",São Luís,MA,-2.5602,-44.3067,endereco,"O núcleo executa projetos de inteligência artificial em convênio com serviços públicos estaduais e federais, experiência aplicável à avaliação de programas apoiados por dados.",parcial,2026-09-17
